"URL","Domain","Status","Valid From","Valid To","Ausgestellt von (CN)","Organisation (O)","TXT Records"
"2020.intranet.test1.datamints.local","2020.intranet.test1.datamints.local","Unable to connect - PLEASE CHECK - NO SSL CONNECTION","N/A","N/A","Encryption Everywhere DV TLS CA - G1","N/A",""
"agm-online.de","agm-online.de","Valid","2023-07-25","2024-07-25","Encryption Everywhere DV TLS CA - G2","N/A","google-site-verification=ALvb0eBE4na6KxZStGfUn5BdzRqNWlS19MN3W_8JbCIv=spf1 a mx a:dedi4194.your-server.de ip4:78.46.144.88 ip4:78.46.169.212 include:_spf.mail-connect.net include:spf.crsend.com ?all"
"alfatec.de","alfatec.de","Valid","2023-03-02","2024-03-03","Encryption Everywhere DV TLS CA - G1","N/A","MS=ms98142146v=spf1 a mx ip4:195.243.148.10 ip4:78.46.144.88 ip6:2a01:4f8:d0a:50df::2 a:dedi4194.your-server.de include:spf.sec-provider.de include:spf.crsend.com include:spf.protection.outlook.com ~allwebexdomainverification.IS8I=c42f43da-aff6-4d66-ae75-7828cb60c21fd365mktkey=qQLFNBgsiAs8WeGP1flAGA80IIjzZvtgMLREaem3c7UxMS=4E37D8FEE1541FF63F839FB73E25890F4BCD8660"
"alt.capcomp.de","alt.capcomp.de","Valid","2023-07-19","2024-07-28","Sectigo RSA Domain Validation Secure Server CA","N/A",""
"as-led.de","as-led.de","Valid","2023-05-04","2024-05-04","Encryption Everywhere DV TLS CA - G2","N/A","v=spf1 a mx a:dedi4194.your-server.de a:crm.as-led.de ip4:87.128.44.32 include:spf.onlineworkplace24.de include:_spf.mail-connect.net ~all"
"asta-arbeitsschutz.de","asta-arbeitsschutz.de","Valid","2023-10-07","2024-10-07","Encryption Everywhere DV TLS CA - G2","N/A","v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQC89fKcGH08bRGMlHEosLR7kkz3h56nW2zxRBtaGY3+0fm6bHfOwcrIAFK9Bt9UQR/2RulcFfstgHPh/ZPD0LFQzzcyZPeSRG2TVwk7CAyg5955K8tIL+BVjoasYinPHE5lLsjrUEBj/JHhaHK4LeQMp/pISOciuMydzjVzuYb5GwIDAQAB;v=spf1 a ip4:193.163.191.10 include:spf.exclaimer.net include:spf.nl2go.com include:spf.hornetsecurity.com include:spf.protection.outlook.com ~all"
"augsburger-spielzeugkiste.com","augsburger-spielzeugkiste.com","Valid","2022-11-14","2023-11-15","Encryption Everywhere DV TLS CA - G1","N/A","v=spf1 mx a a:dedi4194.your-server.de ip4:78.46.144.88 ~all"
"av-starnberger-see.de","av-starnberger-see.de","Valid","2023-05-05","2024-05-05","Encryption Everywhere DV TLS CA - G2","N/A","MS=ms93689567"
"bardehle.com","bardehle.com","Valid","2023-04-24","2024-05-10","Sectigo RSA Domain Validation Secure Server CA","N/A","MS=ms33695626v=spf1 ip4:18.192.252.23 include:spf.protection.outlook.com include:ispgateway.de include:spf.hornetsecurity.com -all98l216fteh7vrrrchfp0v1sutd"
"bauindustrie-bayern.de","bauindustrie-bayern.de","Valid","2023-07-11","2024-07-11","Encryption Everywhere DV TLS CA - G2","N/A","xqTnvmWpN4XQO2LpPnd6hAyweGmF/p/7t9yE0m8jDBmLlATHQ4mY2kBD5WiA5RD7Q1IIWGQzLGe4ySPvSTZIMg==v=spf1 a mx include:spf.protection.outlook.com ip4:3.126.205.90 ~allMS=ms28901759"
"bechtold-gmbh.de","bechtold-gmbh.de","Valid","2023-02-15","2024-02-15","Encryption Everywhere DV TLS CA - G1","N/A","v=spf1 a mx ip4:88.198.246.3 include:ispgateway.de include:mx.linux-ag.com ~all"
"bergblick-tv.de","bergblick-tv.de","Valid","2023-07-01","2024-07-02","Encryption Everywhere DV TLS CA - G2","N/A","v=spf1 mx a ?all"
"beschilderung-datenbank.tum.de","beschilderung-datenbank.tum.de","Valid","2022-10-17","2023-11-18","Sectigo RSA Domain Validation Secure Server CA","N/A",""
"biallo.de","biallo.de","Valid","2023-01-18","2024-02-03","GeoTrust Global TLS RSA4096 SHA256 2022 CA1","N/A","v=spf1 a ip4:82.165.137.135 ip4:217.160.0.153 ip6:2001:8d8:972:d450:8f02:7ce:7e38:0 include:_spf.perfora.net include:_spf.kundenserver.de include:_spf-eu.ionos.com include:spf.qualityclick.com include:spf.lianamailer.com -all"
"bio-m.org","bio-m.org","Valid","2023-03-10","2024-03-19","Sectigo RSA Domain Validation Secure Server CA","N/A","_globalsign-domain-verification=dD0fhBDHKr16VRBBdg3Ui9Xke-qv6s6sHYS7qOb0Is2017032913584215ban2v2z2418z4fxujhddfc0fziosuk5y4ryjk017gy8aqs8o_globalsign-domain-verification=VZMPh9dPWWRh6hzGD-6XJakUMDl5eQwL2aiWADHcr3v=spf1 a mx a:dedi4194.your-server.de ip4:78.46.144.88 ip4:141.40.252.6 ip4:49.12.117.95 include:spf.crsend.com include:spf.protection.outlook.com ~allMS=ms85016385"
"bioentrepreneurshipsummit.org","bioentrepreneurshipsummit.org","Valid","2022-12-21","2023-12-22","Encryption Everywhere DV TLS CA - G1","N/A",""
"brienner-quartier.de","brienner-quartier.de","Valid","2022-11-14","2023-11-15","Encryption Everywhere DV TLS CA - G1","N/A",""
